CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000027982;;COUNTRY;Босния и Герцеговина;Bosnia-Herzegovina;;;;;;
0000027983;;COUNTRY;Чешская республика;Czech Republic;;;;;;
0000027984;;COUNTRY;Мексика;Mexico;;;;;;
0000027985;;COUNTRY;Израиль;Israel;;;;;;
0000027986;;COUNTRY;Австралия;Australia;;;;;;
0000027987;;COUNTRY;Ангола;Angola;;;;;;
0000027988;;COUNTRY;Новая Зеландия;New Zealand;;;;;;
0000027989;;COUNTRY;Азербайджан;Azerbaijan;;;;;;
0000027996;;COUNTRY;Эстония;Estonia;;;;;;
0000027999;;COUNTRY;Грузия;Georgia;;;;;;
0000028003;;COUNTRY;Латвия;Latvia;;;;;;
0000028010;;COUNTRY;Литва;Lithuania;;;;;;
0000028014;;COUNTRY;Молдавия;Moldova;;;;;;
0000028017;;COUNTRY;Туркменистан;Turkmenistan;;;;;;
0000028018;;COUNTRY;Армения;Armenia;;;;;;
0000028020;;COUNTRY;Таджикистан;Tajikistan;;;;;;
0000028021;;COUNTRY;Узбекистан;Uzbekistan;;;;;;
0000028022;;COUNTRY;Кыргызстан;Kyrgyzstan;;;;;;
0000028023;;COUNTRY;Россия;Russian Federation;;225;;;;
0000028024;0000028023;COUNTRY_DISTRICT;Центр;;;3;;;;
0000028025;0000028024;REGION;Московская область;;;1;;;;
0000028026;0000028024;REGION;Белгородская область;;;10645;;;;
0000028027;0000028024;REGION;Ивановская область;;;10687;;;;
0000028028;0000028024;REGION;Калужская область;;;10693;;;;
0000028029;0000028024;REGION;Костромская область;;;10699;;;;
0000028030;0000028024;REGION;Курская область;;;10705;;;;
0000028031;0000028024;REGION;Липецкая область;;;10712;;;;
0000028032;0000028024;REGION;Орловская область;;;10772;;;;
0000028033;0000028024;REGION;Рязанская область;;;10776;390000;;;
0000028034;0000028024;REGION;Смоленская область;;;10795;;;;
0000028035;0000028024;REGION;Тамбовская область;;;10802;392000;;;
0000028036;0000028024;REGION;Тверская область;;;10819;;;;
0000028037;0000028024;REGION;Тульская область;;;10832;;;;
0000028038;0000028024;REGION;Ярославская область;;;10841;;;;
0000028039;0000028024;REGION;Брянская область;;;10650;;;;
0000028040;0000028024;REGION;Воронежская область;;;10672;;;;
0000028041;0000028024;REGION;Владимирская область;;;10658;;;;
0000028042;0000028023;COUNTRY_DISTRICT;Северо-Запад;;;17;;;;
0000028043;0000028042;REGION;Ленинградская область;;;10174;;;;
0000028044;0000028042;REGION;Республика Коми;;;10939;;;;
0000028045;0000028042;REGION;Республика Карелия;;;10933;;;;
0000028046;0000028042;REGION;Вологодская область;;;10853;;;;
0000028047;0000028042;REGION;Архангельская область;;;10842;;;;
0000028048;0000028042;REGION;Мурманская область;;;10897;;;;
0000028049;0000028042;REGION;Калининградская область;;;10857;;;;
0000028050;0000028042;REGION;Псковская область;;;10926;;;;
0000028051;0000028042;REGION;Новгородская область;;;10904;;;;
0000028052;0000028042;REGION;Ненецкий автономный округ;;;10176;166000;;;
0000028053;0000028023;COUNTRY_DISTRICT;Юг;;;26;;;;
0000028054;0000028053;REGION;Краснодарский край;;;10995;;;;
0000028055;0000028053;REGION;Волгоградская область;;;10950;;;;
0000028056;0000028053;REGION;Ростовская область;;;11029;;;;
0000028057;0000028053;REGION;Астраханская область;;;10946;;;;
0000028058;0000028053;REGION;Республика Адыгея;;;11004;385000;;;
0000028059;0000028053;REGION;Республика Калмыкия;;;11015;;;;
0000028060;0000028023;COUNTRY_DISTRICT;Северный Кавказ;;;102444;;;;
