CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000474609;0000028056;SUBREGION;Тацинский район;;;;;;;
0000474930;0000474609;VILLAGE;Тацинская станица;;;100572;;;;347061,347060
0000475157;0000028056;SUBREGION;Усть-Донецкий район;;;;;;;
0000475183;0000475157;VILLAGE;Усть-Донецкий рабочий посёлок;;;100573;;;;346551,346550
0000475672;0000028056;SUBREGION;Целинский район;;;;;;;
0000475673;0000475672;VILLAGE;Целина посёлок;;;20228;347760;;;
0000475889;0000475672;VILLAGE;Веселый хутор;;;100559;347763;;;
0000475985;0000475672;VILLAGE;Рассвет хутор;;;21669;347771;;;
0000476105;0000028056;SUBREGION;Чертковский район;;;;;;;
0000476217;0000476105;VILLAGE;Чертково посёлок;;;100574;346000;;;
0000476677;0000028056;SUBREGION;Цимлянский район;;;;;;;
0000476678;0000476677;CITY;Цимлянск;;;11052;347320;;;347320,347325
0000477119;0000028056;SUBREGION;Шолоховский район;;;;;;;
0000477226;0000477119;VILLAGE;Вешенская станица;;;11035;346270;;;
